,Date,real_b,predict_b,se_b,real_g,predict_g,se_g,Iftrad
177,2017/3/7,1279.5,1276.362899,24.75568405,1216.65,1234.684832,9.668084502,TRUE
178,2017/3/8,1157.3933,1284.395771,24.68716863,1209.2,1216.846075,10.35206905,TRUE
179,2017/3/9,1192.469143,1167.114024,26.08358728,1206.55,1210.342917,10.30579459,TRUE
180,2017/3/10,1192.09,1176.572008,26.06990464,1202.65,1205.233885,10.21226929,TRUE
181,2017/3/11,1179.159875,1173.403917,26.02231657,,1202.687711,10.14490645,FALSE
182,2017/3/12,1227.494625,1169.984546,25.95438296,,1200.436,13.46158775,FALSE
183,2017/3/13,1227.68,1220.429661,26.21348894,1204.2,1199.79838,15.8218863,TRUE
184,2017/3/14,1245.370786,1234.094451,26.14668309,1204.6,1201.899883,10.21398233,TRUE
185,2017/3/15,1257.399625,1254.351707,26.08703338,1198.8,1204.199671,10.21061252,TRUE
186,2017/3/16,1257,1264.096632,26.01714211,1229.35,1198.481687,10.11441604,TRUE
187,2017/3/17,1091.171888,1260.336638,25.95248044,1229.6,1226.049506,10.43815536,TRUE
188,2017/3/18,952.2323625,1100.777419,28.58401799,,1228.352483,10.31328074,FALSE
189,2017/3/19,967.69,940.2667345,30.75424479,,1230.740259,13.52294574,FALSE
190,2017/3/20,1049.084488,964.7662703,30.72320666,1232.4,1232.123699,15.8657212,TRUE
191,2017/3/21,1118.630043,1050.08735,31.18406133,1241.6,1236.195413,10.466873,TRUE
192,2017/3/22,1113,1148.099034,31.00451328,1249.05,1242.545936,10.43642436,TRUE
193,2017/3/23,1038.789,1119.461704,30.47437661,1247.5,1251.306999,10.33228741,TRUE
194,2017/3/24,941.9197143,1036.085381,30.97567498,1247.5,1249.125999,10.24185679,TRUE
195,2017/3/25,927.93,929.7889973,31.93820312,,1249.448868,10.15544309,FALSE
196,2017/3/26,956.7863125,945.4381336,31.85416907,,1248.667487,13.27107911,FALSE
197,2017/3/27,1037.22925,986.9832685,31.78100428,1257.55,1248.838954,15.56214095,TRUE
198,2017/3/28,1041.04,1059.374623,31.85351726,1257.25,1254.838797,10.31152317,TRUE
199,2017/3/29,1040.5755,1020.162996,31.79519697,1251.1,1256.403437,10.23944105,TRUE
200,2017/3/30,1037.90455,1012.496058,31.74214242,1248.8,1250.092028,10.17619935,TRUE
201,2017/3/31,1034.74,1020.871927,31.70700908,1244.85,1249.599884,10.08918054,TRUE
202,2017/4/1,1086.929571,1033.035922,31.64243089,,1245.041121,9.999811634,FALSE
